winner_side,Omega_center,Delta_center,alpha_center,y_center,sigma_center,worst_sigma,max_diff,sigma_minus_diff,passed,box_status
1,0.26545,0.08385,0.2747691316199995,0.5974999999999999,0.02799107426531809,0.026316100571469436,0.002230677499506151,0.02576039676581194,True,certified_box
1,0.26545,0.08395,0.27377604707998077,0.5974999999999999,0.02883199336321194,0.027299469645933924,0.0020791110136453165,0.026752882349566624,True,certified_box
1,0.26545,0.08405,0.2728563708607423,0.5974999999999999,0.029611482111888358,0.028191379610265417,0.0019616717217991824,0.027649810390089177,True,certified_box
1,0.26545,0.08415,0.271997025905857,0.5974999999999999,0.03034048019721275,0.02901202907492035,0.0018676238308247622,0.028472856366387987,True,certified_box
1,0.26545,0.08425,0.27118837868565,0.5974999999999999,0.031027047017633695,0.029775153624025944,0.0017904011945496928,0.029236645823084002,True,certified_box
1,0.26545,0.08435000000000001,0.2704230919272409,0.5974999999999999,0.031677321235426145,0.03049062832472845,0.0017257349104219139,0.02995158632500423,True,certified_box
1,0.26545,0.08445000000000001,0.2696954261255325,0.5974999999999999,0.03229610499243997,0.031165807260529203,0.0016707159198570817,0.030625389072582887,True,certified_box
1,0.26545,0.08455000000000001,0.2690007923525423,0.5974999999999999,0.03288723794955025,0.03180634354135903,0.0016232862338577746,0.031263951715692476,True,certified_box
1,0.26545,0.08465000000000002,0.26833545401932496,0.5974999999999999,0.03345384674534389,0.032416694053000294,0.0015819448109049364,0.03187190193443896,True,certified_box
1,0.26545,0.08475000000000002,0.2676963211251471,0.5974999999999999,0.03399851709889877,0.03300044551361084,0.001545568662584058,0.03245294843631471,True,certified_box
1,0.26545,0.08485000000000002,0.2670808041999856,0.597,0.034523391395968855,0.03356053456325539,0.0015132987104029326,0.03301009268556592,True,certified_box
1,0.26545,0.08495000000000003,0.266486708058305,0.597,0.0350303063576089,0.034099401145515004,0.001484467968882032,0.033545838388726865,True,certified_box
1,0.26545,0.08505000000000003,0.26591215286186565,0.597,0.0355208636812884,0.03461909833219717,0.0014585470104821504,0.03406231667080625,True,certified_box
1,0.26545,0.08515000000000003,0.26535551437867266,0.597,0.03599642242082008,0.035121372809190775,0.0014351116337591148,0.03456131078706096,True,certified_box
1,0.26545,0.08525000000000003,0.2648153780274349,0.597,0.03645816626489536,0.0356077250635633,0.0014138172821082928,0.03504434898278707,True,certified_box
1,0.26545,0.08535000000000004,0.2642905030111198,0.597,0.03690713353292454,0.036079455194722394,0.0013943809960032417,0.0355127525369213,True,certified_box
1,0.26545,0.08545000000000004,0.26377979395990225,0.597,0.03734424089127827,0.036537698333154206,0.0013765681006103951,0.03596767279066787,True,certified_box
1,0.26545,0.08555000000000004,0.2632822782484969,0.597,0.03777030232431495,0.036983452408448046,0.001360182230585682,0.036410120093729265,True,certified_box
1,0.26555,0.08385,0.2777700596401117,0.5974999999999999,0.025505466122602696,0.023256865945652898,0.002862728921685833,0.022642737200916863,True,certified_box
1,0.26555,0.08395,0.27651177360566226,0.5974999999999999,0.026568178940119393,0.0246264348562427,0.002521260401081686,0.024046918539037707,True,certified_box
1,0.26555,0.08405,0.2753861843466104,0.5974999999999999,0.02751988887438109,0.025788146122377797,0.0022921448869711305,0.02522774398740996,True,certified_box
1,0.26555,0.08415,0.2743608627196089,0.5974999999999999,0.028387715634942686,0.026811458706625255,0.002125719686217518,0.026261995948725168,True,certified_box
1,0.26555,0.08425,0.27341468969537,0.5974999999999999,0.02918932162110455,0.02773420613018751,0.0019984391239978405,0.02719088249710671,True,certified_box
1,0.26555,0.08435000000000001,0.27253300844987327,0.5974999999999999,0.029936965433845553,0.028579678823242544,0.0018974856249989267,0.028039479808846628,True,certified_box
1,0.26555,0.08445000000000001,0.2717051588166722,0.5974999999999999,0.030639563473449125,0.029363406630067423,0.0018152042731182094,0.028824359200330916,True,certified_box
1,0.26555,0.08455000000000001,0.2709231028807566,0.5974999999999999,0.031303839200517145,0.030096384418632594,0.0017467064776564138,0.02955713272286073,True,certified_box
1,0.26555,0.08465000000000002,0.27018060400115623,0.5974999999999999,0.031935009647074165,0.030786702810166638,0.0016887070425119167,0.03024630260456225,True,certified_box
1,0.26555,0.08475000000000002,0.2694727091481296,0.5974999999999999,0.03253721830486836,0.031440526757174396,0.00163890779421757,0.03089831051065079,True,certified_box
1,0.26555,0.08485000000000002,0.26879540794712226,0.5974999999999999,0.033113820253172145,0.03206268053147523,0.001595647888017824,0.03151817236515432,True,certified_box
1,0.26555,0.08495000000000003,0.2681453998945822,0.5974999999999999,0.03366757683223665,0.032657022503850566,0.0015576943357744817,0.03210988249646217,True,certified_box
1,0.26555,0.08505000000000003,0.26751993056318907,0.5974999999999999,0.03420079262582938,0.03322669523021855,0.0015241108232528803,0.032676681802576504,True,certified_box
1,0.26555,0.08515000000000003,0.26691667335373076,0.5974999999999999,0.03471541435551578,0.03377429806415251,0.0014941724488848403,0.033221241906630936,True,certified_box
1,0.26555,0.08525000000000003,0.26633364221817013,0.5974999999999999,0.035213103874799256,0.03430200973929449,0.001467308535554002,0.03374579533924525,True,certified_box
1,0.26555,0.08535000000000004,0.2657691259877538,0.5974999999999999,0.03569529309531397,0.03481167756991062,0.0014430632191586219,0.034252229876155345,True,certified_box
1,0.26555,0.08545000000000004,0.2652216381129142,0.5974999999999999,0.03616322602410718,0.03530488374371955,0.0014210676409915838,0.0347421583831156,True,certified_box
1,0.26555,0.08555000000000004,0.2646898776155665,0.5974999999999999,0.03661799142377501,0.03578299550669653,0.0014010199178567842,0.035216971505918224,True,certified_box
2,0.26565,0.08385,,,,,,,False,crosses_boundary
1,0.26565,0.08395,,,,,,,False,crosses_boundary
1,0.26565,0.08405,,,,,,,False,crosses_boundary
1,0.26565,0.08415,0.2771735658538589,0.598,0.026059787304583644,0.024033406074509087,0.0026149761198522854,0.023444811184731358,True,certified_box
1,0.26565,0.08425,0.2760050987959868,0.598,0.027047413511258184,0.025255275945305442,0.0023577204514933217,0.024689693059764862,True,certified_box
1,0.26565,0.08435000000000001,0.27494613477262014,0.598,0.02794342819158095,0.026321187824466654,0.0021746879871174323,0.025768740204463517,True,certified_box
1,0.26565,0.08445000000000001,0.2739725611540465,0.598,0.028767998276158946,0.027276302362062774,0.0020366515141541446,0.026731346762004803,True,certified_box
1,0.26565,0.08455000000000001,0.2730679392409813,0.598,0.02953487325815011,0.02814754041596549,0.0019282711857008055,0.027606602072449304,True,certified_box
1,0.26565,0.08465000000000002,0.2722204717710153,0.598,0.03025392101803051,0.028952487600449384,0.001840615056436168,0.028413305961594342,True,certified_box
1,0.26565,0.08475000000000002,0.27142135570917003,0.598,0.030932505287195735,0.02970337978847074,0.0017680849001051016,0.029164420387090634,True,certified_box
1,0.26565,0.08485000000000002,0.270663817641195,0.598,0.03157629231314663,0.030409119830056612,0.0017069726698988354,0.029869319643247797,True,certified_box
1,0.26565,0.08495000000000003,0.26994251502932826,0.598,0.032189751580642655,0.031076427777330166,0.0016547141204265412,0.030535037460216113,True,certified_box
1,0.26565,0.08505000000000003,0.26925314685931284,0.598,0.03277648143051628,0.03171052223993098,0.0016094734908865024,0.031167007939629777,True,certified_box
1,0.26565,0.08515000000000003,0.26859219061803347,0.598,0.03333942903294516,0.03231555069984085,0.0015698985860965705,0.03176953044684859,True,certified_box
1,0.26565,0.08525000000000003,0.26795671887133665,0.598,0.033881043792701855,0.032894873307651395,0.0015349693626837747,0.03234607443001808,True,certified_box
1,0.26565,0.08535000000000004,0.26734426785679927,0.598,0.03440338725445597,0.033451256853094274,0.0015039005807297706,0.0328994866737262,True,certified_box
1,0.26565,0.08545000000000004,0.26675274113539815,0.598,0.03490821368782759,0.03398701137536836,0.0014760771096634692,0.033432136578164115,True,certified_box
1,0.26565,0.08555000000000004,0.26618033751316705,0.598,0.035397030374693605,0.034504088864244366,0.0014510096989117766,0.03394602067578183,True,certified_box
2,0.26575,0.08385,0.28108620844455706,0.598,0.022787327555753845,0.022771427073190076,0.0009788898311819238,0.021808437724571923,True,certified_box
2,0.26575,0.08395,0.28110670957007505,0.598,0.022778572511981857,0.022762617761909618,0.000978890412139373,0.021799682099842482,True,certified_box
2,0.26575,0.08405,,,,,,,False,crosses_boundary
1,0.26575,0.08415,,,,,,,False,crosses_boundary
1,0.26575,0.08425,,,,,,,False,crosses_boundary
1,0.26575,0.08435000000000001,0.2778394706118309,0.598,0.02554872208411298,0.023429452021042116,0.0027176918905954606,0.02283103019351752,True,certified_box
1,0.26575,0.08445000000000001,0.2766256544072486,0.598,0.026574163054245575,0.02471739689250469,0.002427743581574195,0.02414641947267138,True,certified_box
1,0.26575,0.08455000000000001,0.2755315908652041,0.598,0.027499443197582806,0.025828805933972628,0.002226118235226433,0.025273324962356375,True,certified_box
1,0.26575,0.08465000000000002,0.2745297035086633,0.598,0.028347620094690714,0.02681789540288467,0.002076326623835988,0.026271293470854724,True,certified_box
1,0.26575,0.08475000000000002,0.273601544367752,0.598,0.0291341196697926,0.027715863194904825,0.0019599664574402815,0.02717415321235232,True,certified_box
1,0.26575,0.08485000000000002,0.2727340581660962,0.598,0.02986985922479983,0.028542639770943554,0.0018666080728082124,0.028003251151991617,True,certified_box
1,0.26575,0.08495000000000003,0.2719176077004514,0.598,0.03056289822159679,0.029311845693841144,0.001789841639518912,0.02877305658207788,True,certified_box
1,0.26575,0.08505000000000003,0.27114484110519826,0.598,0.031219385279705848,0.030033274671577154,0.001725484676929439,0.02949390060277641,True,certified_box
1,0.26575,0.08515000000000003,0.2704100000356785,0.598,0.031844136572230876,0.03071424760934837,0.0016706788882606275,0.03017345768397025,True,certified_box
1,0.26575,0.08525000000000003,0.26970847563055383,0.598,0.03244100707675318,0.031360405472927795,0.001623397555358019,0.030817609521395162,True,certified_box
1,0.26575,0.08535000000000004,0.26903651176406046,0.598,0.033013138687675116,0.03197620273378853,0.001582159654851176,0.03143097903282394,True,certified_box
1,0.26575,0.08545000000000004,0.26839099997025245,0.598,0.03356313168625613,0.03256522893716949,0.0015458554238543286,0.032017276262401806,True,certified_box
1,0.26575,0.08555000000000004,0.2677693336522822,0.598,0.03409316664421537,0.03313042631957187,0.0015136354350719597,0.03257953120914341,True,certified_box
2,0.26585,0.08385,0.28109596861166675,0.5985,0.022807874793111416,0.02279280688718161,0.000978889179105771,0.021828985614005644,True,certified_box
2,0.26585,0.08395,0.2811164533219446,0.5985,0.022799084856270045,0.022784000919893573,0.0009788897598129282,0.021820195096457117,True,certified_box
2,0.26585,0.08405,0.2811369634164486,0.5985,0.02279028516095716,0.022775185177292618,0.000978890341107635,0.021811394819849526,True,certified_box
2,0.26585,0.08415,0.2811574988979681,0.5985,0.022781475711824754,0.02276635966402015,0.0009788909229908977,0.021802584788833856,True,certified_box
2,0.26585,0.08425,,,,,,,False,crosses_boundary
2,0.26585,0.08435000000000001,,,,,,,False,crosses_boundary
1,0.26585,0.08445000000000001,,,,,,,False,crosses_boundary
1,0.26585,0.08455000000000001,0.27850940492774523,0.5985,0.02503313898574053,0.022813530021087984,0.0028307423399118632,0.022202396645828668,True,certified_box
1,0.26585,0.08465000000000002,0.27724759707810426,0.5985,0.026098788551003525,0.024174417825266158,0.002502587851167258,0.023596200699836267,True,certified_box
1,0.26585,0.08475000000000002,0.276116928463783,0.5985,0.027054747546994464,0.025334490544528594,0.002280111830508121,0.024774635716486342,True,certified_box
1,0.26585,0.08485000000000002,0.27508581032346896,0.5985,0.02792743056044153,0.026359237768897887,0.0021174757895231866,0.025809954770918343,True,certified_box
1,0.26585,0.08495000000000003,0.2741335301963848,0.5985,0.028734158413839188,0.02728491739073947,0.0019925516268422495,0.026741606786996937,True,certified_box
1,0.26585,0.08505000000000003,0.27324564296044657,0.5985,0.02948701154962543,0.02813412527163479,0.0018931537688769227,0.027593857780748507,True,certified_box
1,0.26585,0.08515000000000003,0.2724116036848467,0.5985,0.030194809174277172,0.028922028264376138,0.0018119456417117741,0.0283828635325654,True,certified_box
1,0.26585,0.08525000000000003,0.2716234384958211,0.5985,0.03086422056403538,0.029659395395579113,0.0017442136697472259,0.029120006894288154,True,certified_box
1,0.26585,0.08535000000000004,0.27087494620666236,0.5985,0.031500432610995645,0.03035419652327562,0.0016867754525484284,0.029813657158447218,True,certified_box
1,0.26585,0.08545000000000004,0.2701611926753651,0.5985,0.03210757262082602,0.031012523893149676,0.001637396407371264,0.03047017621345476,True,certified_box
1,0.26585,0.08555000000000004,0.26947817656177164,0.5985,0.03268898780083847,0.031639157131228814,0.0015944567068975199,0.031094531093940947,True,certified_box
2,0.26594999999999996,0.08385,0.28110574217326106,0.599,0.02282994448066828,0.02281419976879311,0.0009788885276425876,0.021851055953025694,True,certified_box
2,0.26594999999999996,0.08395,0.2811262104914884,0.599,0.022821120250390896,0.0228053990212797,0.0009788891081008928,0.021842231142290003,True,certified_box
2,0.26594999999999996,0.08405,0.28114670417032833,0.599,0.02281228618863931,0.02279658662939352,0.0009788896891453319,0.02183339649949398,True,certified_box
2,0.26594999999999996,0.08415,0.28116722321255627,0.599,0.022803442299910937,0.0227877644678726,0.0009788902707768405,0.021824552029134095,True,certified_box
2,0.26594999999999996,0.08425,0.2811877676209444,0.599,0.022794588588725677,0.02277893254135537,0.0009788908529964426,0.021815697735729233,True,certified_box
2,0.26594999999999996,0.08435000000000001,0.28120833739826584,0.599,0.02278572505962143,0.022770090854504633,0.0009788914358047946,0.021806833623816635,True,certified_box
2,0.26594999999999996,0.08445000000000001,,,,,,,False,crosses_boundary
2,0.26594999999999996,0.08455000000000001,,,,,,,False,crosses_boundary
1,0.26594999999999996,0.08465000000000002,,,,,,,False,crosses_boundary
1,0.26594999999999996,0.08475000000000002,,,,,,,False,crosses_boundary
1,0.26594999999999996,0.08485000000000002,0.2778706348922345,0.599,0.02562366911170286,0.02362625101508625,0.0025826593731739793,0.02304100973852888,True,certified_box
1,0.26594999999999996,0.08495000000000003,0.27670181223805995,0.599,0.026611563904111308,0.024838452175923967,0.0023367621899435982,0.02427480171416771,True,certified_box
1,0.26594999999999996,0.08505000000000003,0.2756405489999369,0.599,0.027509484558283896,0.025900614415989325,0.0021600973571427136,0.02534938720114118,True,certified_box
1,0.26594999999999996,0.08515000000000003,0.2746635826476587,0.599,0.02833688435003482,0.026854998635348744,0.002025995277731701,0.02631088907230312,True,certified_box
1,0.26594999999999996,0.08525000000000003,0.2737549351667046,0.599,0.029107125629746673,0.027727225959057702,0.0019202131570661585,0.027186912472680513,True,certified_box
1,0.26594999999999996,0.08535000000000004,0.27290307600337166,0.599,0.029829851879329194,0.02853418884861889,0.0018343582674752769,0.027995493611853918,True,certified_box
1,0.26594999999999996,0.08545000000000004,0.272099364074557,0.599,0.03051229038135115,0.029287721843053276,0.0017631240729006378,0.02874916630845051,True,certified_box
1,0.26594999999999996,0.08555000000000004,0.2713371277795671,0.5985,0.031159976643879733,0.029996493964841234,0.0017029713444170968,0.029457005299462637,True,certified_box
2,0.26604999999999995,0.08385,0.281115529112858,0.599,0.022850654370801506,0.02283553831152917,0.000978887202514212,0.021871767168287294,True,certified_box
2,0.26604999999999995,0.08395,0.2811359810621759,0.599,0.022841890011069742,0.022826757956180846,0.0009788877826748012,0.02186300222839494,True,certified_box
2,0.26604999999999995,0.08405,0.2811564583485353,0.599,0.022833115932076098,0.022817967864807262,0.0009788883634201265,0.02185422756865597,True,certified_box
