Omega_lo,Omega_hi,Delta_lo,Delta_hi,Omega_center,Delta_center,alpha_upper_lowrank,Ymax,sigma_center_min,y_at_min,pert_bound,k3_exclusion_margin,passed
0.2,0.21000000000000002,0.05,0.060000000000000005,0.20500000000000002,0.05500000000000001,0.09713408547991176,7.094758628734314,0.15237743360768516,-0.4079486211522232,0.03886844828591784,0.11350898532176731,True
0.2,0.21000000000000002,0.060000000000000005,0.07,0.20500000000000002,0.065,0.09615995812703479,7.097323439156482,0.15370584158383538,0.40809609775149713,0.03887165429894578,0.11483418728488959,True
0.2,0.21000000000000002,0.07,0.08000000000000002,0.20500000000000002,0.07500000000000001,0.09507213875620674,7.100281684553085,0.15521142204190172,-0.40826619686180265,0.038875352105691485,0.11633606993621023,True
0.2,0.21000000000000002,0.08000000000000002,0.09000000000000001,0.20500000000000002,0.08500000000000002,0.09388306555465303,7.103632873396541,0.15688222404570687,0.40845889022030146,0.0388795410917455,0.11800268295396138,True
0.2,0.21000000000000002,0.09000000000000001,0.1,0.20500000000000002,0.095,0.09260524638075412,7.107376449858274,0.15870614528324115,-0.4086741458668506,0.03888422056232275,0.1198219247209184,True
0.2,0.21000000000000002,0.1,0.11000000000000001,0.20500000000000002,0.10500000000000001,0.09125095914263998,7.111511794267095,0.16067121247557514,-0.40891192817035815,0.03888938974283396,0.12178182273274119,True
0.2,0.21000000000000002,0.11000000000000001,0.12000000000000001,0.20500000000000002,0.11500000000000002,0.08983201482598543,7.116038223618532,0.1627658057375111,-0.4091721978580658,0.03889504777952333,0.12387075795798777,True
0.21000000000000002,0.22000000000000003,0.05,0.060000000000000005,0.21500000000000002,0.05500000000000001,0.11063393862822304,7.10323869794617,0.1457846864413512,0.44395241862163637,0.038879048372432605,0.10690563806891859,True
0.21000000000000002,0.22000000000000003,0.060000000000000005,0.07,0.21500000000000002,0.065,0.10938640490294735,7.105800447521729,0.14735988611808723,0.44411252797010814,0.03888225055940197,0.10847763555868525,True
0.21000000000000002,0.22000000000000003,0.07,0.08000000000000002,0.21500000000000002,0.07500000000000001,0.10800241023605789,7.10875516528738,0.1491333142051007,-0.44429719783046107,0.03888594395660916,0.11024737024849154,True
0.21000000000000002,0.22000000000000003,0.08000000000000002,0.09000000000000001,0.21500000000000002,0.08500000000000002,0.10650000304317053,7.112102361468091,0.15108807436361935,-0.4445063975917556,0.038890127951834975,0.11219794641178438,True
0.21000000000000002,0.22000000000000003,0.09000000000000001,0.1,0.21500000000000002,0.095,0.10489685306869023,7.115841482214173,0.15320751594779278,-0.4447400926383853,0.038894801852767925,0.11431271409502486,True
0.21000000000000002,0.22000000000000003,0.1,0.11000000000000001,0.21500000000000002,0.10500000000000001,0.1032098314356927,7.119971910056949,0.15547562234608775,0.44499824437855917,0.03889996488757119,0.11657565745851656,True
0.21000000000000002,0.22000000000000003,0.11000000000000001,0.12000000000000001,0.21500000000000002,0.11500000000000002,0.10145471669305062,7.124492964415082,0.15787728733319825,0.4452808102759418,0.038905616205519,0.11897167112767926,True
0.22000000000000003,0.23000000000000004,0.05,0.060000000000000005,0.22500000000000003,0.05500000000000001,0.12624235382440768,7.112102361468091,0.1370508654797617,0.48006690939909547,0.03889012795183499,0.0981607375279267,True
0.22000000000000003,0.23000000000000004,0.060000000000000005,0.07,0.22500000000000003,0.065,0.12459548129083964,7.114660919537909,0.13897105449389816,-0.48023961206880905,0.038893326149422196,0.10007772834447595,True
0.22000000000000003,0.23000000000000004,0.07,0.08000000000000002,0.22500000000000003,0.07500000000000001,0.12278655453590176,7.117611959077286,0.1411112868290797,0.48043880723771615,0.038897014948846786,0.10221427188023291,True
0.22000000000000003,0.23000000000000004,0.08000000000000002,0.09000000000000001,0.22500000000000003,0.08500000000000002,0.12084278932942874,7.120954992134131,0.14344668002772076,-0.4806644619690541,0.03890119374016774,0.10454548628755303,True
0.22000000000000003,0.23000000000000004,0.09000000000000001,0.1,0.22500000000000003,0.095,0.11878977725412265,7.124689466917137,0.1459536829403139,-0.48091653901690634,0.03890586183364662,0.1070478211066673,True
0.22000000000000003,0.23000000000000004,0.1,0.11000000000000001,0.22500000000000003,0.10500000000000001,0.11665097436339109,7.128814768248646,0.14861054608845817,0.48119499685678413,0.038911018460310975,0.10969952762814719,True
0.22000000000000003,0.23000000000000004,0.11000000000000001,0.12000000000000001,0.22500000000000003,0.11500000000000002,0.1144474395209539,7.133330218067855,0.1513975720105591,-0.48149978971957985,0.038916662772584966,0.11248090923797413,True
0.23000000000000004,0.24000000000000005,0.05,0.060000000000000005,0.23500000000000004,0.05500000000000001,0.14479765180136278,7.121348186965724,0.1254357228397257,-0.4984943730875999,0.038901685233706955,0.08653403760601874,True
0.23000000000000004,0.24000000000000005,0.060000000000000005,0.07,0.23500000000000004,0.065,0.14251325241411078,7.123903424387503,0.1278917183667857,0.4986732397071254,0.03890487928048424,0.08898683908630145,True
0.23000000000000004,0.24000000000000005,0.07,0.08000000000000002,0.23500000000000004,0.07500000000000001,0.14004541652950941,7.126850636852158,0.13058473694540843,0.4988795445796512,0.03890856329606529,0.09167617364934313,True
0.23000000000000004,0.24000000000000005,0.08000000000000002,0.09000000000000001,0.23500000000000004,0.08500000000000002,0.13743683014094057,7.13018933829951,0.13347660176919598,-0.4991132536809655,0.038912736672874294,0.0945638650963217,True
0.23000000000000004,0.24000000000000005,0.09000000000000001,0.1,0.23500000000000004,0.095,0.13472503210003042,7.133918979074545,0.13653347933423904,0.4993743285352181,0.03891739872384312,0.09761608061039592,True
0.23000000000000004,0.24000000000000005,0.1,0.11000000000000001,0.23500000000000004,0.10500000000000001,0.1319422303813173,7.1380389463773595,0.13972607601755746,0.49966272624641483,0.038922548682971625,0.10080352733458584,True
0.23000000000000004,0.24000000000000005,0.11000000000000001,0.12000000000000001,0.23500000000000004,0.11500000000000002,0.1291155359321745,7.142548564763141,0.1430294691820311,-0.49997839953342016,0.03892818570595378,0.10410128347607733,True
0.24000000000000005,0.25000000000000006,0.05,0.060000000000000005,0.24500000000000005,0.05500000000000001,0.16801282872841605,7.130974687937127,0.10940395690708882,0.5348231015952836,0.038913718359921516,0.0704902385471673,True
0.24000000000000005,0.25000000000000006,0.060000000000000005,0.07,0.24500000000000005,0.065,0.16454003798465083,7.133526477135975,0.11287850057014777,-0.5350144857851982,0.038916908096420004,0.07396159247372777,True
0.24000000000000005,0.25000000000000006,0.07,0.08000000000000002,0.24500000000000005,0.07500000000000001,0.1609100266036863,7.136469715482579,0.11656691137044506,0.5352352286611941,0.038920587144353425,0.07764632422609163,True
0.24000000000000005,0.25000000000000006,0.08000000000000002,0.09000000000000001,0.24500000000000005,0.08500000000000002,0.15718805373663997,7.139803918876204,0.120411366286955,-0.5354852939157153,0.03892475489859513,0.08148661138835986,True
0.24000000000000005,0.25000000000000006,0.09000000000000001,0.1,0.24500000000000005,0.095,0.15342431381380983,7.143528539874395,0.12436691452121972,-0.53576464049058,0.038929410674843214,0.0854375038463765,True
0.24000000000000005,0.25000000000000006,0.1,0.11000000000000001,0.24500000000000005,0.10500000000000001,0.14965670708681655,7.147642968139917,0.12839915628597526,-0.5360732226104936,0.03893455371017507,0.08946460257580019,True
0.24000000000000005,0.25000000000000006,0.11000000000000001,0.12000000000000001,0.24500000000000005,0.11500000000000002,0.14591344372574266,7.152146530937408,0.132482047059238,0.5364109898203049,0.03894018316367174,0.09354186389556626,True
0.25000000000000006,0.26000000000000006,0.05,0.060000000000000005,0.25500000000000006,0.05500000000000001,0.20083880462894677,7.140980324857365,0.08526410749852925,-0.5712784259885888,0.03892622540607182,0.046337882092457434,True
0.25000000000000006,0.26000000000000006,0.060000000000000005,0.07,0.25500000000000006,0.065,0.19421355425276243,7.143528539874395,0.09141629872773321,-0.571482283189952,0.03892941067484323,0.052486888052889986,True
0.25000000000000006,0.26000000000000006,0.07,0.08000000000000002,0.25500000000000006,0.07500000000000001,0.1879209255028373,7.146467658920734,0.09736553897085042,-0.5717174127136593,0.03893308457365108,0.05843245439719934,True
0.25000000000000006,0.26000000000000006,0.08000000000000002,0.09000000000000001,0.25500000000000006,0.08500000000000002,0.18193271735049898,7.149797199921128,0.1031325164245904,0.5719837759936901,0.03893724649990136,0.06419526992468905,True
0.25000000000000006,0.26000000000000006,0.09000000000000001,0.1,0.25500000000000006,0.095,0.17622462958083657,7.153516617720267,0.10873499285896882,0.5722813294176214,0.03894189577215033,0.0697930970868185,True
0.25000000000000006,0.26000000000000006,0.1,0.11000000000000001,0.25500000000000006,0.10500000000000001,0.17077551516457606,7.1576253045266345,0.11418837006657692,-0.572610024362131,0.03894703163065816,0.07524133843591876,True
0.25000000000000006,0.26000000000000006,0.11000000000000001,0.12000000000000001,0.25500000000000006,0.11500000000000002,0.16556680955521036,7.162122590405724,0.1195061225388513,0.5729698072324574,0.0389526532380071,0.0805534693008442,True
0.26000000000000006,0.2700000000000001,0.05,0.060000000000000005,0.26500000000000007,0.05500000000000001,0.25942216602104534,7.151363506353177,0.03897711517639187,0.5899874892741366,0.03893920438294151,3.791079345036308e-05,True
0.26000000000000006,0.2700000000000001,0.060000000000000005,0.07,0.26500000000000007,0.065,0.25582987055970396,7.153908022892104,0.0425813459425044,-0.5901974118885986,0.038942385028615016,0.0036389609138893844,True
0.26000000000000006,0.2700000000000001,0.07,0.08000000000000002,0.26500000000000007,0.07500000000000001,0.2305772289686646,7.156842879370763,0.0644874966740775,-0.5904395375480878,0.03894605359921344,0.025541443074864056,True
0.26000000000000006,0.2700000000000001,0.08000000000000002,0.09000000000000001,0.26500000000000007,0.08500000000000002,0.2168119135214162,7.160167595803886,0.07682839602308375,-0.5907138266538201,0.038950209494754896,0.037878186528328854,True
0.26000000000000006,0.2700000000000001,0.09000000000000001,0.1,0.26500000000000007,0.095,0.2062004133302046,7.163881629396176,0.0865824868804661,-0.5910202344251836,0.03895485203674529,0.04762763484372081,True
0.26000000000000006,0.2700000000000001,0.1,0.11000000000000001,0.26500000000000007,0.10500000000000001,0.19724462294163458,7.167984374982971,0.0950065119271254,-0.5913587109360954,0.03895998046872884,0.05604653145839657,True
0.26000000000000006,0.2700000000000001,0.11000000000000001,0.12000000000000001,0.26500000000000007,0.11500000000000002,0.18935619396220402,7.17247516551992,0.1025936203899418,0.5917292011553936,0.0389655939569,0.0636280264330418,True
0.2700000000000001,0.2800000000000001,0.05,0.060000000000000005,0.2750000000000001,0.05500000000000001,0.2586104644705296,7.162122590405724,0.04285986089449018,-0.6266857266605008,0.03895265323800711,0.003907207656483072,True
0.2700000000000001,0.2800000000000001,0.060000000000000005,0.07,0.2750000000000001,0.065,0.26290039940489673,7.164663285877432,0.039766654860698185,0.6269080375142755,0.03895582910734662,0.0008108257533515628,True
0.2700000000000001,0.2800000000000001,0.07,0.08000000000000002,0.2750000000000001,0.07500000000000001,0.26851733357929564,7.167593738487136,0.03565534383481475,0.6271644521176247,0.0389594921731089,-0.0033041483382941494,False
0.2700000000000001,0.2800000000000001,0.08000000000000002,0.09000000000000001,0.2750000000000001,0.08500000000000002,0.2760219087356501,7.170913470402499,0.030067024927444775,0.6274549286602182,0.03896364183800325,-0.008896616910558475,False
0.2700000000000001,0.2800000000000001,0.09000000000000001,0.1,0.2750000000000001,0.095,0.2552301773845622,7.174621941259344,0.048355874961881096,-0.6277794198601923,0.03896827742657403,0.009387597535307067,True
0.2700000000000001,0.2800000000000001,0.1,0.11000000000000001,0.2750000000000001,0.10500000000000001,0.23409910854972824,7.178718548599046,0.06705617334458186,0.6281378730024167,0.038973398185748964,0.028082775158832896,True
0.2700000000000001,0.2800000000000001,0.11000000000000001,0.12000000000000001,0.2750000000000001,0.11500000000000002,0.21990595313102274,7.18320262835457,0.07997623901577446,0.628530229981024,0.038979003285443105,0.04099723573033135,True
0.2800000000000001,0.2900000000000001,0.05,0.060000000000000005,0.2850000000000001,0.05500000000000001,0.25791814341786146,7.173255885579435,0.04667241998925271,-0.645593029702149,0.0389665698569741,0.007705850132278605,True
0.2800000000000001,0.2900000000000001,0.060000000000000005,0.07,0.2850000000000001,0.065,0.2617666847226715,7.175792639144473,0.043939291789649684,-0.6458213375230031,0.03896974079893067,0.004969550990719017,True
0.2800000000000001,0.2900000000000001,0.07,0.08000000000000002,0.2850000000000001,0.07500000000000001,0.26668236366712617,7.178718548599046,0.04040730139979858,-0.6460846693739146,0.038973398185748964,0.0014339032140496186,True
0.2800000000000001,0.2900000000000001,0.08000000000000002,0.09000000000000001,0.2850000000000001,0.08500000000000002,0.27297703708720644,7.182033138325108,0.03582854619326555,0.6463829824492597,0.038977541422906305,-0.0031489952296407525,False
0.2800000000000001,0.2900000000000001,0.09000000000000001,0.1,0.2850000000000001,0.095,0.2812075871335372,7.185735870458919,0.029766210782080565,-0.6467162283413028,0.038982169838073434,-0.00921595905599287,False
0.2800000000000001,0.2900000000000001,0.1,0.11000000000000001,0.2850000000000001,0.10500000000000001,0.2858638502555518,7.189826145325074,0.026820453172199984,0.647084353079256,0.03898728268165619,-0.012166829509456203,False
0.2800000000000001,0.2900000000000001,0.11000000000000001,0.12000000000000001,0.2850000000000001,0.11500000000000002,0.2638768902510054,7.194303301918818,0.0460943362231332,-0.6474872971726926,0.03899287912739855,0.007101457095734648,True
0.2900000000000001,0.3000000000000001,0.05,0.060000000000000005,0.2950000000000001,0.05500000000000001,0.25731889823857573,7.184761652274903,0.050566499425410374,0.6825523569661147,0.03898095206534368,0.011585547360066693,True
0.2900000000000001,0.3000000000000001,0.060000000000000005,0.07,0.2950000000000001,0.065,0.26080982614687237,7.187294344883894,0.04807277906156287,-0.68279296276397,0.03898411793110478,0.009088661130458087,True
0.2900000000000001,0.3000000000000001,0.07,0.08000000000000002,0.2950000000000001,0.07500000000000001,0.2651927579729801,7.190215573958823,0.044908286419333324,-0.683070479526088,0.03898776946744875,0.005920516951884572,True
0.2900000000000001,0.3000000000000001,0.08000000000000002,0.09000000000000001,0.2950000000000001,0.08500000000000002,0.2706589685864939,7.193524866155673,0.04091704254692893,-0.6833848622847887,0.03899190608269463,0.0019251364642343047,True
0.2900000000000001,0.3000000000000001,0.09000000000000001,0.1,0.2950000000000001,0.095,0.27750598991927433,7.197221686178633,0.03585689839133725,-0.6837360601869698,0.03899652710772348,-0.0031396287163862266,False
0.2900000000000001,0.3000000000000001,0.1,0.11000000000000001,0.2950000000000001,0.10500000000000001,0.2862158898174506,7.201305437210673,0.02933748417892906,0.684124016535014,0.03900163179651339,-0.009664147617584332,False
0.2900000000000001,0.3000000000000001,0.11000000000000001,0.12000000000000001,0.2950000000000001,0.11500000000000002,0.28899016336989897,7.205775461392063,0.027905602231451075,0.6845486688322469,0.039007219326739874,-0.011101617095288799,False
0.3000000000000001,0.3100000000000001,0.05,0.060000000000000005,0.3050000000000001,0.05500000000000001,0.2567941827173406,7.196638104003841,0.05427834971957008,-0.7016722151403743,0.03899579763000482,0.015282552089565263,True
0.3000000000000001,0.3100000000000001,0.060000000000000005,0.07,0.3050000000000001,0.065,0.2599876407222379,7.199166618435775,0.052021787048931616,-0.7019187452974878,0.03899895827304455,0.013022828775887063,True
0.3000000000000001,0.3100000000000001,0.07,0.08000000000000002,0.3050000000000001,0.07500000000000001,0.2639472650276006,7.202083032012336,0.0491989448144536,0.7022030956212024,0.03900260379001552,0.010196341024438081,True
0.3000000000000001,0.3100000000000001,0.08000000000000002,0.09000000000000001,0.3050000000000001,0.08500000000000002,0.2687979941811272,7.205386873721633,0.04570992711847641,-0.7025252201878596,0.03900673359215221,0.006703193526324196,True
0.3000000000000001,0.3100000000000001,0.09000000000000001,0.1,0.3050000000000001,0.095,0.2747172778390305,7.209077610901412,0.04141378269057957,-0.7028850670628879,0.03901134701362683,0.0024024356769527383,True
0.3000000000000001,0.3100000000000001,0.1,0.11000000000000001,0.3050000000000001,0.10500000000000001,0.2819582458305533,7.213154649666122,0.03611207196750416,0.7032825783424466,0.03901644331208254,-0.0029043713445783756,False
0.3000000000000001,0.3100000000000001,0.11000000000000001,0.12000000000000001,0.3050000000000001,0.11500000000000002,0.28995353357695,7.217617335381532,0.030304769283760528,0.7037176901996993,0.03902202166922673,-0.008717252385466199,False
0.3100000000000001,0.3200000000000001,0.05,0.060000000000000005,0.3150000000000001,0.05500000000000001,0.2563304028825375,7.208883408684039,0.05826078854680305,-0.7389105493901145,0.03901110426085518,0.019249684285947866,True
0.3100000000000001,0.3200000000000001,0.060000000000000005,0.07,0.3150000000000001,0.065,0.2592714296324594,7.211407629582452,0.05618177290869998,0.7391692820322007,0.03901425953697823,0.017167513371721753,True
0.3100000000000001,0.3200000000000001,0.07,0.08000000000000002,0.3150000000000001,0.07500000000000001,0.2628838732234723,7.214319094689395,0.05360728880612547,-0.7394677072056632,0.0390178988683616,0.014589389937763868,True
0.3100000000000001,0.3200000000000001,0.08000000000000002,0.09000000000000001,0.3150000000000001,0.08500000000000002,0.2672529625303431,7.217617335381532,0.05046857642254396,-0.7398057768766071,0.03902202166922673,0.011446554753317233,True
0.3100000000000001,0.3200000000000001,0.09000000000000001,0.1,0.3150000000000001,0.095,0.2724921417405669,7.221301821693926,0.04667446997807888,-0.7401834367236271,0.039026627277117344,0.007647842700961534,True
0.3100000000000001,0.3200000000000001,0.1,0.11000000000000001,0.3150000000000001,0.10500000000000001,0.2787501205285431,7.22537196274351,0.042106291051898156,0.7406006261812097,0.03903171495342961,0.0030745760984685483,True
0.3100000000000001,0.3200000000000001,0.11000000000000001,0.12000000000000001,0.3150000000000001,0.11500000000000002,0.28621363405638167,7.229827107199729,0.0366170773969683,0.7410572784879728,0.03903728388399961,-0.0024202064870313053,False
0.3200000000000001,0.3300000000000001,0.05,0.060000000000000005,0.3250000000000001,0.05500000000000001,0.2559172845530091,7.221495689952325,0.06186458900557821,0.7582570474449941,0.03902686961244028,0.02283771939313793,True
0.3200000000000001,0.3300000000000001,0.060000000000000005,0.07,0.3250000000000001,0.065,0.2586407252740856,7.224015503859332,0.05995320041388391,-0.7585216279052291,0.03903001937982408,0.02092318103405983,True
0.3200000000000001,0.3300000000000001,0.07,0.08000000000000002,0.3250000000000001,0.07500000000000001,0.2619616429903904,7.226921889712107,0.057605908987573784,-0.7588267984197712,0.03903365236213996,0.018572256625433825,True
0.3200000000000001,0.3300000000000001,0.08000000000000002,0.09000000000000001,0.3250000000000001,0.08500000000000002,0.26594001422086644,7.230214381330612,0.05477485220863577,-0.759172510039714,0.03903776797666334,0.015737084231972426,True
0.3200000000000001,0.3300000000000001,0.09000000000000001,0.1,0.3250000000000001,0.095,0.2706518560941563,7.233892451509076,0.05139969405505917,0.7595587074084529,0.03904236556438632,0.01235732849067285,True
0.3200000000000001,0.3300000000000001,0.1,0.11000000000000001,0.3250000000000001,0.10500000000000001,0.27619091677631796,7.237955512435815,0.04740670580946681,0.7599853288057599,0.03904744439054464,0.008359261418922175,True
0.3200000000000001,0.3300000000000001,0.11000000000000001,0.12000000000000001,0.3250000000000001,0.11500000000000002,0.28266679215740975,7.242402916159802,0.042711188692337095,-0.760452306196779,0.0390530036451999,0.0036581850471371913,True
0.3300000000000001,0.34000000000000014,0.05,0.060000000000000005,0.33500000000000013,0.05500000000000001,0.25554686777031393,7.234473028493506,0.06596564779314755,0.7957920331342851,0.039043091285617,0.026922556507530553,True
0.3300000000000001,0.34000000000000014,0.060000000000000005,0.07,0.33500000000000013,0.065,0.2580803885797807,7.236988323881696,0.06419765778066396,0.7960687156269861,0.039046235404852185,0.02515142237581177,True
0.3300000000000001,0.34000000000000014,0.07,0.08000000000000002,0.33500000000000013,0.07500000000000001,0.2611520334665373,7.239889501919211,0.062040028489681515,-0.7963878452111128,0.039049861877398895,0.02299016661228262,True
0.3300000000000001,0.34000000000000014,0.08000000000000002,0.09000000000000001,0.33500000000000013,0.08500000000000002,0.26480497590155905,7.24317609892235,0.059458578981630025,-0.7967493708814581,0.03905397012365273,0.020404608857977298,True
0.3300000000000001,0.34000000000000014,0.09000000000000001,0.1,0.33500000000000013,0.095,0.26909186191028284,7.24684759050444,0.05641192931472474,0.7971532349554886,0.03905855948813051,0.01735336982659423,True
0.3300000000000001,0.34000000000000014,0.1,0.11000000000000001,0.33500000000000013,0.10500000000000001,0.2740746398732426,7.250903391991925,0.05285195895233585,0.7975993731191116,0.03906362923998974,0.013788329712346108,True
0.3300000000000001,0.34000000000000014,0.11000000000000001,0.12000000000000001,0.33500000000000013,0.11500000000000002,0.2798219149012093,7.255342858886822,0.048726504894288085,-0.7980877144775498,0.039069178573608566,0.009657326320679518,True
0.34000000000000014,0.35000000000000014,0.05,0.060000000000000005,0.34500000000000014,0.05500000000000001,0.25521285820921885,7.2478134633832845,0.06945440254369135,0.8153790146306203,0.039059766829229174,0.03039463571446218,True
0.34000000000000014,0.35000000000000014,0.060000000000000005,0.07,0.34500000000000014,0.065,0.2575788920763967,7.250324130685469,0.06781021581435566,0.8156614647021154,0.03906290516335686,0.0287473106509988,True
0.34000000000000014,0.35000000000000014,0.07,0.08000000000000002,0.34500000000000014,0.07500000000000001,0.26043430625797315,7.253219974604383,0.06581414972698564,-0.815987247142993,0.039066524968255356,0.026747624758730285,True
0.34000000000000014,0.35000000000000014,0.08000000000000002,0.09000000000000001,0.34500000000000014,0.08500000000000002,0.26381069464145784,7.256500534003977,0.06344128036199959,0.8163563100754478,0.039070625667504834,0.024370654694494752,True
0.34000000000000014,0.35000000000000014,0.09000000000000001,0.1,0.34500000000000014,0.095,0.26774537907333,7.260165287374662,0.06066236900103061,0.8167685948296501,0.03907520660921835,0.021587162391812256,True
0.34000000000000014,0.35000000000000014,0.1,0.11000000000000001,0.34500000000000014,0.10500000000000001,0.2722806323420722,7.264213653245615,0.05744466506249701,0.8172240359901322,0.03908026706655687,0.01836439799594014,True
0.34000000000000014,0.35000000000000014,0.11000000000000001,0.12000000000000001,0.34500000000000014,0.11500000000000002,0.27746124619652845,7.268644990643029,0.05375414493610184,-0.8177225614473409,0.03908580623830391,0.014668338697797927,True
